iter	Passed	Remaining
0	4	652
1	8	642
2	12	654
3	16	626
4	20	608
5	23	598
6	27	594
7	31	589
8	36	590
9	40	587
10	44	580
11	47	574
12	51	569
13	56	573
14	60	567
15	64	563
16	68	563
17	73	561
18	77	556
19	81	551
20	85	547
21	89	544
22	93	539
23	97	535
24	101	531
25	105	525
26	108	520
27	112	515
28	116	511
29	120	507
30	124	502
31	128	497
32	131	491
33	135	486
34	139	481
35	143	476
36	146	472
37	151	469
38	155	465
39	159	461
40	163	457
41	167	454
42	171	451
43	176	448
44	180	444
45	184	440
46	187	435
47	191	430
48	195	426
49	198	421
50	202	417
51	206	412
52	210	408
53	213	403
54	217	399
55	221	396
56	225	391
57	232	392
58	236	388
59	239	383
60	243	379
61	247	375
62	251	370
63	254	366
64	258	362
65	262	357
66	266	353
67	270	349
68	274	345
69	277	341
70	281	337
71	285	333
72	289	328
73	293	324
74	296	320
75	300	316
76	304	312
77	307	307
78	311	303
79	314	299
80	318	295
81	322	291
82	326	286
83	330	283
84	333	278
85	337	274
86	341	270
87	344	266
88	348	262
89	352	258
90	355	254
91	359	249
92	362	245
93	366	241
94	370	237
95	373	233
96	377	229
97	381	225
98	385	221
99	388	217
100	392	213
101	395	209
102	399	205
103	402	201
104	406	197
105	410	193
106	413	189
107	417	185
108	421	181
109	424	177
110	428	173
111	431	169
112	435	165
113	438	161
114	442	157
115	445	153
116	449	149
117	453	145
118	456	141
119	460	138
120	463	134
121	467	130
122	471	126
123	474	122
124	478	118
125	481	114
126	485	110
127	489	107
128	493	103
129	497	99
130	500	95
131	504	91
132	508	87
133	512	84
134	515	80
135	519	76
136	523	72
137	527	68
138	531	64
139	535	61
140	539	57
141	542	53
142	546	49
143	550	45
144	554	42
145	558	38
146	561	34
147	565	30
148	569	26
149	573	22
150	576	19
151	580	15
152	584	11
153	588	7
154	591	3
155	595	0
