iter	Passed	Remaining
0	7	5271
1	15	5241
2	21	4981
3	29	5185
4	37	5165
5	44	5100
6	50	5007
7	58	5034
8	65	4999
9	72	4981
10	79	4962
11	86	4952
12	93	4937
13	101	4924
14	108	4928
15	115	4905
16	122	4888
17	128	4851
18	135	4831
19	142	4803
20	148	4775
21	154	4741
22	161	4717
23	168	4717
24	175	4707
25	182	4712
26	189	4704
27	197	4708
28	205	4719
29	212	4724
30	220	4721
31	226	4707
32	233	4689
33	240	4678
34	247	4668
35	253	4650
36	260	4637
37	266	4613
38	272	4597
39	279	4578
40	285	4562
41	292	4548
42	298	4530
43	304	4519
44	311	4508
45	318	4496
46	324	4482
47	331	4473
48	337	4460
49	343	4443
50	350	4429
51	356	4417
52	363	4405
53	369	4392
54	375	4381
55	382	4366
56	388	4355
57	394	4337
58	401	4332
59	408	4327
60	415	4327
61	422	4324
62	429	4313
63	436	4306
64	442	4298
65	449	4293
66	456	4289
67	463	4280
68	469	4267
69	475	4256
70	482	4246
71	488	4236
72	495	4226
73	496	4174
74	503	4166
75	509	4158
76	516	4151
77	522	4143
78	529	4135
79	535	4125
80	546	4148
81	556	4168
82	564	4168
83	571	4167
84	578	4158
85	585	4151
86	592	4144
87	598	4135
88	605	4127
89	611	4120
90	618	4114
91	625	4108
92	631	4097
93	638	4086
94	645	4081
95	652	4076
96	658	4067
97	665	4060
98	672	4053
99	678	4045
100	685	4035
101	691	4028
102	698	4022
103	705	4014
104	712	4007
105	718	4000
106	725	3992
107	731	3982
108	738	3974
109	744	3965
110	751	3958
111	757	3950
112	764	3941
113	770	3932
114	776	3924
115	783	3916
116	789	3908
117	796	3899
118	802	3890
119	809	3884
120	815	3874
121	822	3870
122	829	3863
123	836	3858
124	843	3853
125	850	3845
126	856	3838
127	863	3832
128	870	3826
129	877	3818
130	883	3811
131	889	3801
132	896	3794
133	902	3785
134	909	3778
135	915	3770
136	922	3764
137	928	3756
138	934	3746
139	941	3738
140	947	3730
141	954	3723
142	961	3717
143	968	3711
144	974	3704
145	981	3696
146	988	3691
147	995	3685
148	1001	3676
149	1008	3670
150	1015	3666
151	1022	3659
152	1029	3652
153	1035	3645
154	1042	3638
155	1049	3633
156	1056	3627
157	1064	3623
158	1071	3618
159	1078	3613
160	1086	3608
161	1093	3603
162	1100	3598
163	1107	3593
164	1115	3589
165	1122	3583
166	1129	3578
167	1136	3572
168	1144	3567
169	1151	3561
170	1158	3557
171	1165	3551
172	1172	3545
173	1180	3540
174	1186	3533
175	1194	3528
176	1201	3522
177	1208	3516
178	1215	3510
179	1223	3505
180	1229	3498
181	1236	3493
182	1243	3485
183	1250	3480
184	1258	3475
185	1265	3470
186	1273	3466
187	1281	3462
188	1289	3458
189	1298	3459
190	1306	3453
191	1313	3447
192	1320	3441
193	1328	3436
194	1336	3432
195	1343	3428
196	1351	3423
197	1359	3418
198	1366	3412
199	1374	3408
200	1381	3402
201	1388	3396
202	1396	3390
203	1403	3385
204	1411	3379
205	1418	3374
206	1426	3368
207	1433	3363
208	1441	3357
209	1448	3351
210	1456	3347
211	1463	3341
212	1469	3332
213	1477	3327
214	1484	3321
215	1492	3315
216	1506	3326
217	1514	3320
218	1522	3316
219	1530	3310
220	1536	3303
221	1544	3297
222	1552	3292
223	1559	3286
224	1567	3280
